"","vd_0f","vd_1f","vd_2f","exp_x1_K","exp_x1_T","exp_x1_S.R","exp_x1_G","exp_x2_K","exp_x2_T","exp_x2_S.R","exp_x2_G","neg.ev_1","neg.ev_2.R","neg.ev_3","neg.ev_4.R","neg.ev_5","neg.ev_6","neg.ev_7.R","neg.ev_8","neg.ev_9","neg.ev_10.R","neg.ev_11","neg.ev_12","gender","income","age","employ","r_amount","r_type"
"239",1,3,2,6,6,6,6,6,6,6,6,5,2,4,2,4,4,1,4,4,1,4,4,1,1,56,6,2,2
"241",1,3,2,8,7,7,8,6,7,8,7,4,3,4,3,4,4,3,5,3,3,5,5,1,4,53,1,2,2
"247",1,3,2,8,8,8,8,8,7,7,8,3,2,2,2,2,2,1,3,2,2,2,2,2,2,46,1,2,2
"253",1,3,2,8,8,8,8,7,7,7,7,4,2,4,3,3,4,4,3,4,2,4,4,1,3,59,1,2,2
"255",1,3,2,9,9,9,9,9,9,9,9,4,3,5,3,4,3,4,4,5,3,4,5,2,1,60,6,2,2
"257",1,3,2,7,8,8,8,7,7,7,7,5,2,5,3,5,5,4,4,4,3,5,4,2,4,52,6,2,2
"266",1,2,3,9,9,9,9,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,4,1,4,40,1,2,2
"268",1,3,2,6,6,6,6,6,6,6,6,5,1,3,1,4,2,1,4,3,1,5,4,1,1,49,1,2,2
"273",1,2,3,9,9,9,9,9,9,9,9,5,4,5,4,5,5,4,4,5,3,5,3,1,4,74,5,2,2
"278",1,3,2,8,8,7,8,7,7,7,7,3,3,2,4,3,3,3,3,2,2,1,1,2,2,41,6,2,2
"281",1,3,2,9,9,9,9,9,9,9,9,5,1,5,3,5,5,4,5,5,4,5,3,2,1,64,5,2,2
"286",3,2,1,8,8,8,8,7,7,8,6,5,3,4,3,4,4,3,4,4,3,5,3,2,1,68,5,2,2
"290",1,3,2,5,5,5,5,5,5,5,5,5,2,5,2,4,5,1,5,5,1,4,5,1,2,55,1,2,2
"304",1,3,2,9,9,9,9,9,9,9,9,2,4,2,2,2,2,2,2,2,2,2,2,2,2,20,1,2,2
"308",1,2,3,9,9,9,9,9,9,9,9,4,2,3,2,5,5,1,5,4,1,5,5,2,5,35,1,2,2
"310",1,2,3,9,9,9,9,8,8,8,8,4,2,3,4,4,4,2,4,3,2,3,3,1,1,32,1,2,2
"322",1,3,2,9,8,9,8,7,8,7,7,4,2,5,2,5,5,4,5,5,3,5,4,1,4,52,1,2,2
"323",1,3,2,9,9,9,9,9,9,9,9,3,3,3,3,3,3,3,3,3,3,3,3,1,4,42,1,2,2
"332",1,3,2,9,9,9,9,8,9,8,8,5,3,5,3,5,5,4,5,5,3,5,5,2,5,48,2,2,2
"336",1,3,2,9,9,9,9,5,5,2,5,3,2,5,3,4,4,3,4,4,3,4,3,1,2,62,5,2,2
"344",1,2,3,9,9,9,9,9,9,9,8,5,4,4,3,4,3,4,4,4,3,4,3,2,4,52,1,2,2
"352",1,3,2,7,7,7,7,7,7,7,7,4,3,3,1,5,5,2,5,4,2,5,4,1,4,53,1,2,2
"356",1,3,2,9,9,9,9,8,8,6,8,2,2,5,2,5,4,3,3,3,3,2,3,2,1,52,6,2,2
"361",1,3,2,8,8,8,8,9,8,8,8,4,2,3,2,4,3,2,4,4,2,3,3,2,5,55,1,2,2
"365",1,3,2,5,5,5,6,4,3,1,3,1,1,3,1,1,1,1,1,1,1,1,1,2,3,56,2,2,2
"369",1,2,3,9,9,9,9,9,9,9,9,3,2,3,4,4,2,3,3,3,3,3,3,2,4,35,1,2,2
"374",1,3,2,9,9,9,9,9,9,9,9,3,3,3,3,5,5,1,3,3,4,3,3,1,2,71,5,2,2
"379",1,3,2,9,9,9,9,7,6,4,6,3,2,4,3,3,4,2,3,3,3,4,4,1,3,51,1,2,2
"385",1,3,2,7,7,7,7,7,7,7,7,5,4,2,4,5,5,4,5,5,4,5,5,1,2,64,5,2,2
"389",2,3,1,8,9,8,8,9,8,8,8,4,3,5,3,3,4,2,5,4,1,2,4,2,1,78,5,2,2
"396",1,3,2,8,9,6,8,6,6,6,6,5,2,5,4,5,5,3,5,4,1,5,4,2,3,32,1,2,2
"399",1,3,2,6,8,7,8,6,6,5,5,1,1,3,3,3,2,2,3,3,2,2,3,1,3,64,5,2,2
"407",1,2,3,9,9,9,9,9,9,9,9,5,1,5,4,5,4,2,5,5,2,5,4,2,1,43,6,2,2
