"","gender","age","income","employment","B2vsC3","C3vsE5","A1vsE5","A1vsC3","A1vsD4","C3vs6F","A1vsB2","E5vs6F","A1vs6F","C3vsD4","D4vs6F","B2vs6F","D4vsE5","B2vsE5","B2vsD4","condition"
"174",1,48,1,4,3,5,5,3,4,6,2,6,6,4,6,5,5,5,4,3
"175",1,27,1,3,3,3,1,3,1,3,1,5,1,3,6,5,5,5,4,3
"176",1,34,1,3,2,3,5,1,1,3,2,5,1,3,4,2,4,2,4,3
"177",2,37,1,4,3,5,5,3,4,6,1,5,6,3,6,5,5,5,4,3
"178",2,54,6,5,3,5,5,3,4,6,1,5,6,3,6,5,5,5,4,3
"179",2,35,3,1,2,3,1,1,1,3,1,5,1,3,4,2,4,2,2,3
"180",1,38,1,4,2,3,1,1,1,3,1,5,1,3,4,2,4,2,2,3
"181",2,59,2,5,2,3,1,1,1,3,2,5,1,4,4,2,4,2,2,3
"182",2,45,2,1,3,3,5,3,1,3,1,5,1,3,4,2,5,2,2,3
"183",1,42,1,4,2,3,1,3,4,3,2,5,1,3,4,2,4,2,2,3
"184",2,64,5,1,2,3,1,1,1,3,1,5,1,3,4,2,4,5,2,3
"185",2,31,1,2,3,5,5,3,1,3,1,5,1,3,6,5,5,5,2,3
"186",1,37,1,2,2,3,1,1,1,3,2,6,6,4,6,5,4,2,2,3
"187",1,69,5,3,3,5,5,3,1,3,1,5,6,3,6,5,5,5,4,3
"188",1,68,5,1,3,3,1,1,1,3,1,5,1,3,6,2,4,2,2,3
"189",2,27,1,3,2,5,1,1,4,6,2,6,6,3,6,2,4,5,4,3
"190",1,69,5,4,3,3,1,1,1,3,1,5,1,3,4,2,5,5,2,3
"191",2,30,1,4,3,5,5,3,4,6,2,5,6,4,6,5,5,5,4,3
"192",2,23,2,1,2,3,1,1,1,3,1,5,1,3,4,2,5,2,4,3
"193",1,67,5,2,2,5,5,3,4,6,1,5,6,3,6,5,5,5,4,3
"194",1,53,1,3,2,3,5,3,4,3,2,5,1,4,4,2,4,2,4,3
"195",1,70,2,5,3,3,1,3,1,3,1,5,1,3,4,2,4,5,2,3
"196",2,16,4,3,3,5,5,3,4,3,2,5,1,3,4,5,5,5,4,3
"197",1,61,5,3,3,5,5,3,4,3,2,6,6,3,6,5,5,5,4,3
"198",2,64,5,1,3,3,5,1,4,6,2,6,6,4,4,2,4,2,2,3
"199",2,64,2,3,3,3,5,3,4,3,1,5,6,3,6,5,5,5,4,3
"200",1,42,6,1,3,3,1,1,1,3,1,6,1,3,4,2,4,2,4,3
"201",2,36,2,1,3,5,5,3,4,6,1,5,6,3,6,5,5,5,4,3
"202",1,50,1,4,3,5,5,3,4,6,1,5,6,3,6,5,5,5,4,3
"203",2,42,2,3,3,5,5,3,4,3,2,5,6,4,4,5,4,5,4,3
"204",1,57,1,4,2,5,5,3,4,6,2,6,6,4,6,5,5,5,4,3
"205",1,34,1,4,3,3,1,3,4,3,2,5,6,3,4,2,4,2,4,3
